Date,Time,CO(GT),NOx(GT),NO2,O3(GT),SO2(GT),PM2.5,PM10,Temperature,Humidity,Pressure,WindSpeed,WindDirection,CO_NOx_Ratio,NOx_NO2_Ratio,Temp_Humidity_Index,AirQualityIndex,CO_MA3,NO2_MA3,O3_MA3,DayOfWeek,Hour
1/1/2024,0:00,3.807947177,172.0267676,144.3333169,118.1208316,1.215678841,147.3496706,208.8031244,28.56457954,12.39919524,1041.659237,5.978240824,209.9842668,0.02200785,1.183670553,3.541777988,343.3530465,3.807947177,144.3333169,118.1208316,0,0
1/1/2024,1:00,9.512071633,241.8242665,137.7693179,15.32582999,1.016177804,40.97983914,145.5955791,6.793191693,10.71645112,1045.021361,1.896355503,319.5348903,0.039172657,1.742634973,0.727989067,206.2820275,6.660009405,141.0513174,66.72333077,0,1
1/1/2024,2:00,7.346740024,228.288118,20.05508553,44.37703625,24.14090958,72.5947404,26.15499975,24.43655165,30.19379224,950.4410134,2.527184499,274.6442997,0.032041521,10.84242178,7.378321635,140.1709197,6.888919611,100.7192401,59.27456593,0,2
1/1/2024,3:00,6.026718994,47.0160715,184.5919086,139.488603,2.435391545,134.3397242,276.3679437,26.46395062,81.93888532,981.7075031,3.613422564,312.2660231,0.125514621,0.253330395,21.68426615,307.9285879,7.628510217,114.1387707,66.39715642,0,3
1/1/2024,4:00,1.64458454,45.62559145,114.1259682,95.63476781,48.75209513,99.00742218,294.2954485,10.5303309,91.42728924,1033.737803,4.073066687,21.39212049,0.035272143,0.396310165,9.627596089,370.1345562,5.006014519,106.2576541,93.16680236,0,4
1/1/2024,5:00,1.644345751,81.18413596,73.38137871,167.1064621,11.88119355,149.0213525,135.0025904,16.37135442,45.25915293,1003.644521,4.845236184,114.5255156,0.020008068,1.0914578,7.409536336,127.2924674,3.105216428,124.0330852,134.076611,0,5
1/1/2024,6:00,0.67502776,108.9613432,151.5511781,77.74650209,24.16057174,192.4355407,187.9616341,13.16951907,60.68787369,1030.750873,5.109200579,114.7362997,0.006138773,0.714260909,7.9923011,149.6999505,1.321319351,113.0195084,113.4959107,0,6
1/1/2024,7:00,8.675143843,123.1282188,52.21572622,156.6964135,3.995743871,27.7266041,140.5866016,37.63070484,73.54473418,1035.332328,9.11432691,236.5362208,0.069888571,2.313756244,27.67540184,320.1469585,3.664839118,92.38276101,133.8497925,0,7
1/1/2024,8:00,6.051038616,204.2294678,139.0084576,81.36302331,26.58037239,143.3657047,103.3450988,9.397698806,95.76430293,994.262622,10.19146382,161.5014175,0.029484258,1.458693792,8.999640753,482.6116301,5.13373674,114.258454,105.2686463,0,8
1/1/2024,9:00,7.10991852,17.94744922,8.902530307,176.2854419,19.61785013,49.91711035,32.42244993,3.2495369,92.16390136,985.8982938,6.177584163,279.8901372,0.3752441,1.812410431,2.994899983,106.9357683,7.278700327,66.7089047,138.1149596,0,9
1/1/2024,10:00,0.303786494,11.36713856,168.0421995,172.8103543,3.188341415,85.82296184,142.2596418,11.45167793,15.1473073,995.5433266,18.1459284,138.395004,0.024564008,0.067244384,1.734620847,327.1238179,4.488247877,105.3177291,143.4862732,0,10
1/1/2024,11:00,9.702107536,118.1812583,90.18599856,59.91547029,17.42108907,11.40823153,247.3315213,25.12820684,32.33492589,1015.27952,11.06279447,79.77872783,0.081406319,1.296046106,8.12518706,453.2949205,5.70527085,89.04357612,136.3370888,0,11
1/1/2024,12:00,8.341182144,209.4519439,127.70189,159.580337,20.18036499,31.50193955,14.93912372,26.38132107,14.42300896,986.7159153,15.74953856,104.7423846,0.039634617,1.627419333,3.8049803,230.9833825,6.115692058,128.6433627,130.7687205,0,12
1/1/2024,13:00,2.202157196,58.83716754,45.02632614,152.722436,49.50615307,67.35657136,178.8112281,36.58257919,65.48881789,1027.498829,18.48475665,65.68910141,0.036802497,1.278337258,23.95749867,158.4221132,6.748482292,87.63807155,124.0727478,0,13
1/1/2024,14:00,1.900067175,192.8098399,135.7376688,38.71179112,11.18640772,71.68723203,265.4239115,34.67895182,73.94439848,1040.399279,3.262702292,71.24136903,0.00980377,1.410071135,25.64314232,333.4355326,4.147802172,102.8219616,117.0048547,0,14
1/1/2024,15:00,1.915704648,78.68861324,154.6758149,112.7479817,27.69420115,180.4191172,73.0893347,7.974423419,37.74550711,978.2311202,8.557489674,78.06200956,0.024039879,0.505464598,3.009986559,15.71590324,2.00597634,111.81327,101.3940696,0,15
1/1/2024,16:00,3.111998205,265.9397465,95.16942419,14.01013449,49.37846191,149.6535173,63.14420076,15.4823462,86.84667173,1046.498964,8.664208034,5.794096143,0.011658055,2.765325349,13.44590238,180.0802753,2.309256676,128.527636,55.15663578,0,16
1/1/2024,17:00,5.295088673,268.8112933,123.9276579,150.771219,39.80894119,194.5756788,233.9602215,28.62710447,50.75314754,1012.272525,7.089445009,257.7916925,0.019625156,2.151735635,14.52915657,128.9870134,3.440930509,124.5909657,92.50977841,0,17
1/1/2024,18:00,4.376255685,89.88887408,91.80885884,32.24371315,49.67500754,121.8189445,83.97506502,36.24417763,99.85433636,1037.816877,0.178117331,143.8568432,0.04814952,0.96853765,36.19138304,112.3108514,4.261114188,103.6353136,65.67502221,0,18
1/1/2024,19:00,2.983168488,69.76813244,178.9241825,13.67583155,48.44661742,52.13417776,65.67543759,10.17242558,10.03597233,960.3916435,16.31944216,8.161679477,0.042154122,0.387764065,1.020901817,89.87963176,4.218170949,131.5535664,65.56358789,0,19
1/1/2024,20:00,6.157343658,123.9798876,100.0759669,72.6392181,24.98743756,68.89273083,119.6168827,14.99986454,19.85407376,975.1499137,2.231186431,133.202716,0.049266676,1.226601055,2.978084169,368.5316508,4.505589277,123.6030027,39.5195876,0,20
1/1/2024,21:00,1.48098922,72.91894397,168.5199331,104.2690628,35.12241664,67.36800504,123.8255836,35.47652217,37.16139186,982.1019079,19.90961196,325.9325258,0.020035314,0.430149674,13.18356942,477.5498977,3.540500455,149.1733608,63.52803749,0,21
1/1/2024,22:00,2.99223202,202.0427691,160.4690596,154.0301356,6.41171322,68.66639389,263.4893083,11.13177429,12.29568382,980.2822151,15.45916984,184.0479541,0.014736954,1.25127854,1.36872777,192.3853227,3.543521633,143.0216532,110.3128055,0,22
1/1/2024,23:00,3.726982249,247.9933407,82.69045945,175.3894121,22.61629243,136.2280138,189.3486069,16.62308438,80.4105512,967.1861157,11.60020035,355.2307241,0.014968201,2.963221164,13.36671377,24.55165345,2.733401163,137.226484,144.5628702,0,23
1/2/2024,0:00,4.615092844,202.2545471,46.78681388,79.66915975,40.64190857,108.507546,127.7288223,35.70268635,14.74946091,1036.820095,3.092128355,194.3853955,0.022705976,4.232434237,5.265953767,359.4559068,3.778102371,96.64877764,136.3629025,1,0
1/2/2024,1:00,7.873242018,247.4807837,81.81034438,11.81999921,25.76143073,80.15771473,164.9725096,31.10094481,77.408167,991.8612141,10.30785943,346.6076397,0.031685517,2.988524991,24.0746713,269.1021672,5.405105703,70.4292059,88.95952368,1,1
1/2/2024,2:00,2.076770443,119.7006565,165.4172578,135.0916886,35.43225261,34.0725049,286.6499177,5.954391625,14.73116129,1046.313021,5.222174817,72.64826237,0.017205958,0.719280308,0.877151034,361.8223069,4.855035102,98.00480535,75.5269492,1,2
1/2/2024,3:00,5.19092094,47.73877424,46.29887463,102.1660129,37.54181517,9.317136774,42.83225622,9.615777944,32.74545382,1008.347237,5.046450491,104.3765326,0.106504955,1.009300425,3.148730126,323.9520821,5.0469778,97.84215893,83.02590024,1,3
1/2/2024,4:00,5.964904232,221.6473333,105.3628328,81.17255073,13.41998792,47.67276213,70.2375013,10.88314274,85.71491341,963.8394636,16.59058499,251.9892397,0.026790818,2.08387956,9.328476372,452.7179905,4.410865205,105.6929884,106.1434174,1,4
1/2/2024,5:00,0.559859086,108.781877,161.4132528,56.3591293,43.90926927,25.95692377,289.1333249,36.0732313,95.59857648,1004.590471,7.612888479,355.2557821,0.005099741,0.669784486,34.48549562,70.22009636,3.905228086,104.3583201,79.89923097,1,5
1/2/2024,6:00,6.114694034,201.7099767,71.34201755,90.92933648,23.53129911,158.161781,287.6242061,39.95201817,47.30737084,1049.354515,9.014476068,297.107068,0.030164741,2.788282434,18.90024939,84.58092263,4.21315245,112.7060344,76.15367217,1,6
1/2/2024,7:00,1.788188825,81.92253865,128.7997178,61.6236492,11.29907008,26.93710177,61.37797217,29.8301936,97.29450679,1006.517169,16.85929476,199.3338996,0.021564569,0.631145738,29.02313973,170.784612,2.820913981,120.5183294,69.63737166,1,7
1/2/2024,8:00,0.744010771,25.28766081,49.88068324,136.5051243,43.40537821,146.2245063,52.08155697,16.79468361,66.41928314,950.1869345,1.755812514,30.65494117,0.028302662,0.496999238,11.15490846,245.694408,2.882297876,83.34080618,96.35270334,1,8
1/2/2024,9:00,9.493966819,297.7819569,22.74660963,98.35697167,21.4731215,80.20344451,132.114689,-4.542178187,47.42516102,1043.30799,11.89235706,131.1764796,0.031775569,12.53997777,-2.154135319,462.8568905,4.008722138,67.14233688,98.82858173,1,9
1/2/2024,10:00,9.659757127,47.70425087,159.0824608,157.9557516,37.76530948,19.308786,24.41830482,26.38696255,82.25212096,973.4894406,11.56431363,31.11325221,0.19833499,0.297997986,21.70383635,453.4821147,6.632578239,77.23658455,130.9392825,1,10
1/2/2024,11:00,8.103133746,296.5378772,20.69475606,98.29436072,27.85362054,163.4823596,199.9220244,12.5212524,36.57956681,1018.852905,8.504291385,112.0612903,0.027233957,13.66864308,4.580219888,435.9360596,9.085619231,67.50794216,118.2023613,1,11
1/2/2024,12:00,3.115676315,293.2066998,55.00489762,43.64897199,19.71171586,118.0279612,32.47384628,23.48439116,33.92166352,1001.508015,16.59549283,93.16515624,0.010590093,5.235376053,7.96629615,111.263467,6.959522396,78.26070482,99.96636143,1,12
1/2/2024,13:00,1.066953929,238.3516131,171.166775,153.3454469,40.68394434,50.97349501,26.82859186,22.30122836,69.08929092,982.5433757,18.85780123,139.8799068,0.004457684,1.384422825,15.40776054,364.8381886,4.095254663,82.28880955,98.42959321,1,13
1/2/2024,14:00,6.873906962,198.1674657,69.94738813,100.742209,29.63902665,179.462829,150.7042115,16.63744255,45.14386258,978.2639524,9.306717238,301.4195724,0.034513202,2.793160832,7.510784199,191.745872,3.685512402,98.70635358,99.24554265,1,14
1/2/2024,15:00,4.457509688,173.764308,194.6360246,38.02454583,20.13754302,13.8253712,287.7581245,37.4974329,22.23262243,1042.875986,9.12294102,54.13560167,0.025505835,0.888201999,8.336662675,465.5914638,4.132790193,145.2500626,97.37073393,1,15
1/2/2024,16:00,1.308178525,259.9643621,195.9671326,112.607898,6.370295646,44.3548236,133.7708215,-3.958414459,16.02678118,1041.19259,10.04127459,110.1830216,0.005012863,1.319836252,-0.634406423,107.2679182,4.213198392,153.5168484,83.79155095,1,16
1/2/2024,17:00,5.00225141,87.54241696,54.38692807,65.03130092,44.87682037,151.6491509,113.379536,27.0459618,80.90583186,1001.313484,14.46248062,94.00220796,0.056495537,1.580560974,21.88176038,70.6289766,3.589313208,148.3300284,71.88791491,1,17
1/2/2024,18:00,0.440446359,140.8366825,9.154666228,152.1486046,2.738009682,143.3286964,299.4074475,13.44279407,70.83196586,975.8495196,13.36120581,106.610993,0.003105306,13.8691592,9.521795309,421.1925873,2.250292098,86.50290897,109.9292678,1,18
1/2/2024,19:00,9.102271981,186.1976008,141.3075936,82.14065322,43.29618007,61.40798028,164.2709986,27.12057027,47.06184021,960.2342032,4.456698984,129.8244509,0.048623871,1.308416481,12.76343945,358.4537976,4.84832325,68.28306262,99.77351958,1,19
1/2/2024,20:00,2.661921818,123.9459523,90.74631403,131.0330031,18.63811472,17.09485069,118.820008,25.38488414,90.66048717,965.6576383,1.277906972,87.95222998,0.021304586,1.350963835,23.01405963,410.7108391,4.068213386,80.40285794,121.774087,1,20
1/2/2024,21:00,6.658970615,128.8184498,21.04981595,18.10098117,32.32759941,172.3252241,121.8996359,-4.539289884,46.97710772,1002.225173,18.9850826,339.329258,0.051294486,5.84215533,-2.132427099,78.97169384,6.141054805,84.36790784,77.09154583,1,21
1/2/2024,22:00,3.185939653,99.75511558,141.797041,71.88835799,46.18778647,66.17103942,66.53825385,7.840232283,73.92659243,980.7829961,5.221395195,151.236617,0.031620624,0.698579711,5.796016565,442.3963439,4.168944029,84.53105698,73.67411409,1,22
1/2/2024,23:00,5.24867341,169.7053132,7.203806913,177.0002171,8.43362416,43.16411591,158.5446867,3.509118423,91.82037477,954.2068142,12.77193369,41.08077547,0.030746983,20.68616619,3.222085687,338.8101783,5.031194559,56.68355461,88.99651876,1,23
1/3/2024,0:00,5.512431765,255.3217839,174.1691414,145.7143918,28.78057331,105.6320554,137.2679582,2.514385882,85.66439128,995.5167385,16.56876005,168.3570996,0.021505904,1.457572845,2.153933361,325.7804014,4.649014943,107.7233298,131.5343223,2,0
1/3/2024,1:00,1.93005911,61.25698502,28.59185329,29.62940362,38.45721026,182.4943039,88.53063594,27.78145079,55.99942987,1024.618929,6.005535011,66.39548467,0.031001487,2.070062473,15.55745405,291.2919315,4.230388095,69.9882672,117.4480042,2,1
1/3/2024,2:00,9.698887815,280.3954786,26.33506387,50.71976486,38.1216078,13.49158268,56.55662511,5.779810709,71.25727532,1039.169512,12.70866827,77.8070313,0.034467106,10.25772173,4.11853563,382.4382428,5.713792897,76.36535286,75.3545201,2,2
1/3/2024,3:00,7.773814951,207.0372085,35.9587873,60.03702979,26.75596382,154.3317972,100.2592719,16.36319267,47.22991991,1008.528405,2.158004823,102.6149104,0.037367426,5.601839877,7.728322794,207.8041569,6.467587292,30.29523482,46.79539942,2,3
